"Transcript","Gene"
"KXJ26482.1","KXJ26482.1"
"KXJ26492.1","KXJ26492.1"
"KXJ26454.1","KXJ26454.1"
"KXJ26466.1","KXJ26466.1"
"KXJ26461.1","KXJ26461.1"
"KXJ26478.1","KXJ26478.1"
"KXJ26518.1","KXJ26518.1"
"KXJ26512.1","KXJ26512.1"
"KXJ26459.1","KXJ26459.1"
"KXJ26443.1","KXJ26443.1"
"KXJ26530.1","KXJ26530.1"
"KXJ26502.1","KXJ26502.1"
"KXJ26458.1","KXJ26458.1"
"KXJ26533.1","KXJ26533.1"
"KXJ26537.1","KXJ26537.1"
"KXJ26467.1","KXJ26467.1"
"KXJ26535.1","KXJ26535.1"
"KXJ26490.1","KXJ26490.1"
"KXJ26475.1","KXJ26475.1"
"KXJ26501.1","KXJ26501.1"
"KXJ26460.1","KXJ26460.1"
"KXJ26455.1","KXJ26455.1"
"KXJ26444.1","KXJ26444.1"
"KXJ26514.1","KXJ26514.1"
"KXJ26480.1","KXJ26480.1"
"KXJ26510.1","KXJ26510.1"
"KXJ26522.1","KXJ26522.1"
"KXJ26468.1","KXJ26468.1"
"KXJ26515.1","KXJ26515.1"
"KXJ26452.1","KXJ26452.1"
"KXJ26531.1","KXJ26531.1"
"KXJ26451.1","KXJ26451.1"
"KXJ26519.1","KXJ26519.1"
"KXJ26523.1","KXJ26523.1"
"KXJ26481.1","KXJ26481.1"
"KXJ26509.1","KXJ26509.1"
"KXJ26495.1","KXJ26495.1"
"KXJ26499.1","KXJ26499.1"
"KXJ26532.1","KXJ26532.1"
"KXJ26536.1","KXJ26536.1"
"KXJ26448.1","KXJ26448.1"
"KXJ26485.1","KXJ26485.1"
"KXJ26489.1","KXJ26489.1"
"KXJ26505.1","KXJ26505.1"
"KXJ26479.1","KXJ26479.1"
"KXJ26521.1","KXJ26521.1"
"KXJ26465.1","KXJ26465.1"
"KXJ26491.1","KXJ26491.1"
"KXJ26476.1","KXJ26476.1"
"KXJ26445.1","KXJ26445.1"
"KXJ26449.1","KXJ26449.1"
"KXJ26494.1","KXJ26494.1"
"KXJ26470.1","KXJ26470.1"
"KXJ26484.1","KXJ26484.1"
"KXJ26463.1","KXJ26463.1"
"KXJ26471.1","KXJ26471.1"
"KXJ26447.1","KXJ26447.1"
"KXJ26508.1","KXJ26508.1"
"KXJ26488.1","KXJ26488.1"
"KXJ26493.1","KXJ26493.1"
"KXJ26486.1","KXJ26486.1"
"KXJ26428.1","KXJ26428.1"
"KXJ26431.1","KXJ26431.1"
"KXJ26348.1","KXJ26348.1"
"KXJ26408.1","KXJ26408.1"
"KXJ26382.1","KXJ26382.1"
"KXJ26342.1","KXJ26342.1"
"KXJ26350.1","KXJ26350.1"
"KXJ26401.1","KXJ26401.1"
"KXJ26339.1","KXJ26339.1"
"KXJ26389.1","KXJ26389.1"
"KXJ26345.1","KXJ26345.1"
"KXJ26372.1","KXJ26372.1"
"KXJ26376.1","KXJ26376.1"
"KXJ26409.1","KXJ26409.1"
"KXJ26398.1","KXJ26398.1"
"KXJ26413.1","KXJ26413.1"
"KXJ26427.1","KXJ26427.1"
"KXJ26440.1","KXJ26440.1"
"KXJ26335.1","KXJ26335.1"
"KXJ26351.1","KXJ26351.1"
"KXJ26390.1","KXJ26390.1"
"KXJ26336.1","KXJ26336.1"
"KXJ26437.1","KXJ26437.1"
"KXJ26418.1","KXJ26418.1"
"KXJ26358.1","KXJ26358.1"
"KXJ26352.1","KXJ26352.1"
"KXJ26417.1","KXJ26417.1"
"KXJ26438.1","KXJ26438.1"
"KXJ26436.1","KXJ26436.1"
"KXJ26420.1","KXJ26420.1"
"KXJ26361.1","KXJ26361.1"
"KXJ26402.1","KXJ26402.1"
"KXJ26411.1","KXJ26411.1"
"KXJ26365.1","KXJ26365.1"
"KXJ26360.1","KXJ26360.1"
"KXJ26353.1","KXJ26353.1"
"KXJ26362.1","KXJ26362.1"
"KXJ26344.1","KXJ26344.1"
"KXJ26379.1","KXJ26379.1"
"KXJ26331.1","KXJ26331.1"
"KXJ26439.1","KXJ26439.1"
"KXJ26432.1","KXJ26432.1"
"KXJ26377.1","KXJ26377.1"
"KXJ26346.1","KXJ26346.1"
"KXJ26356.1","KXJ26356.1"
"KXJ26405.1","KXJ26405.1"
"KXJ26392.1","KXJ26392.1"
"KXJ26363.1","KXJ26363.1"
"KXJ26425.1","KXJ26425.1"
"KXJ26384.1","KXJ26384.1"
"KXJ26429.1","KXJ26429.1"
"KXJ26399.1","KXJ26399.1"
"KXJ26383.1","KXJ26383.1"
"KXJ26441.1","KXJ26441.1"
"KXJ26435.1","KXJ26435.1"
"KXJ26421.1","KXJ26421.1"
"KXJ26416.1","KXJ26416.1"
"KXJ26385.1","KXJ26385.1"
"KXJ26387.1","KXJ26387.1"
"KXJ26426.1","KXJ26426.1"
"KXJ26397.1","KXJ26397.1"
"KXJ26340.1","KXJ26340.1"
"KXJ26404.1","KXJ26404.1"
"KXJ26424.1","KXJ26424.1"
"KXJ26354.1","KXJ26354.1"
"KXJ26334.1","KXJ26334.1"
"KXJ26406.1","KXJ26406.1"
"KXJ26364.1","KXJ26364.1"
"KXJ26395.1","KXJ26395.1"
"KXJ26380.1","KXJ26380.1"
"KXJ26357.1","KXJ26357.1"
"KXJ26423.1","KXJ26423.1"
"KXJ26381.1","KXJ26381.1"
"KXJ26368.1","KXJ26368.1"
"KXJ26337.1","KXJ26337.1"
"KXJ26414.1","KXJ26414.1"
"KXJ26393.1","KXJ26393.1"
"KXJ26349.1","KXJ26349.1"
"KXJ26375.1","KXJ26375.1"
"KXJ26373.1","KXJ26373.1"
"KXJ26394.1","KXJ26394.1"
"KXJ26366.1","KXJ26366.1"
"KXJ26433.1","KXJ26433.1"
"KXJ26396.1","KXJ26396.1"
"KXJ26403.1","KXJ26403.1"
"KXJ26338.1","KXJ26338.1"
"KXJ26369.1","KXJ26369.1"
"KXJ26374.1","KXJ26374.1"
"KXJ26333.1","KXJ26333.1"
"KXJ26367.1","KXJ26367.1"
"KXJ26415.1","KXJ26415.1"
"KXJ26422.1","KXJ26422.1"
"KXJ26430.1","KXJ26430.1"
"KXJ26388.1","KXJ26388.1"
"KXJ26343.1","KXJ26343.1"
"KXJ26347.1","KXJ26347.1"
"KXJ26386.1","KXJ26386.1"
"KXJ26412.1","KXJ26412.1"
"KXJ26359.1","KXJ26359.1"
"KXJ26370.1","KXJ26370.1"
"KXJ26355.1","KXJ26355.1"
"KXJ26378.1","KXJ26378.1"
"KXJ26419.1","KXJ26419.1"
"KXJ26410.1","KXJ26410.1"
"KXJ26341.1","KXJ26341.1"
"KXJ26434.1","KXJ26434.1"
"KXJ26400.1","KXJ26400.1"
"KXJ26332.1","KXJ26332.1"
"KXJ26371.1","KXJ26371.1"
"KXJ26391.1","KXJ26391.1"
"KXJ26407.1","KXJ26407.1"
"KXJ26314.1","KXJ26314.1"
"KXJ26298.1","KXJ26298.1"
"KXJ26260.1","KXJ26260.1"
"KXJ26321.1","KXJ26321.1"
"KXJ26301.1","KXJ26301.1"
"KXJ26261.1","KXJ26261.1"
"KXJ26296.1","KXJ26296.1"
"KXJ26326.1","KXJ26326.1"
"KXJ26297.1","KXJ26297.1"
"KXJ26285.1","KXJ26285.1"
"KXJ26315.1","KXJ26315.1"
"KXJ26266.1","KXJ26266.1"
"KXJ26268.1","KXJ26268.1"
"KXJ26313.1","KXJ26313.1"
"KXJ26277.1","KXJ26277.1"
"KXJ26293.1","KXJ26293.1"
"KXJ26302.1","KXJ26302.1"
"KXJ26269.1","KXJ26269.1"
"KXJ26320.1","KXJ26320.1"
"KXJ26286.1","KXJ26286.1"
"KXJ26322.1","KXJ26322.1"
"KXJ26330.1","KXJ26330.1"
"KXJ26294.1","KXJ26294.1"
"KXJ26317.1","KXJ26317.1"
"KXJ26307.1","KXJ26307.1"
"KXJ26325.1","KXJ26325.1"
"KXJ26323.1","KXJ26323.1"
"KXJ26291.1","KXJ26291.1"
"KXJ26316.1","KXJ26316.1"
"KXJ26278.1","KXJ26278.1"
"KXJ26327.1","KXJ26327.1"
"KXJ26318.1","KXJ26318.1"
"KXJ26280.1","KXJ26280.1"
"KXJ26319.1","KXJ26319.1"
"KXJ26281.1","KXJ26281.1"
"KXJ26311.1","KXJ26311.1"
"KXJ26259.1","KXJ26259.1"
"KXJ26288.1","KXJ26288.1"
"KXJ26273.1","KXJ26273.1"
"KXJ26290.1","KXJ26290.1"
"KXJ26258.1","KXJ26258.1"
"KXJ26328.1","KXJ26328.1"
"KXJ26310.1","KXJ26310.1"
"KXJ26262.1","KXJ26262.1"
"KXJ26267.1","KXJ26267.1"
"KXJ26271.1","KXJ26271.1"
"KXJ26292.1","KXJ26292.1"
"KXJ26287.1","KXJ26287.1"
"KXJ26283.1","KXJ26283.1"
"KXJ26275.1","KXJ26275.1"
"KXJ26274.1","KXJ26274.1"
"KXJ26295.1","KXJ26295.1"
"KXJ26270.1","KXJ26270.1"
"KXJ26299.1","KXJ26299.1"
"KXJ26289.1","KXJ26289.1"
"KXJ26324.1","KXJ26324.1"
"KXJ26312.1","KXJ26312.1"
"KXJ26284.1","KXJ26284.1"
"KXJ26309.1","KXJ26309.1"
"KXJ26263.1","KXJ26263.1"
"KXJ26308.1","KXJ26308.1"
"KXJ26304.1","KXJ26304.1"
"KXJ26282.1","KXJ26282.1"
"KXJ26276.1","KXJ26276.1"
"KXJ26264.1","KXJ26264.1"
"KXJ26265.1","KXJ26265.1"
"KXJ26300.1","KXJ26300.1"
"KXJ26303.1","KXJ26303.1"
"KXJ26279.1","KXJ26279.1"
"KXJ26272.1","KXJ26272.1"
"KXJ26305.1","KXJ26305.1"
"KXJ26329.1","KXJ26329.1"
"KXJ26306.1","KXJ26306.1"
"KXJ26210.1","KXJ26210.1"
"KXJ26236.1","KXJ26236.1"
"KXJ26205.1","KXJ26205.1"
"KXJ26202.1","KXJ26202.1"
"KXJ26193.1","KXJ26193.1"
"KXJ26199.1","KXJ26199.1"
"KXJ26173.1","KXJ26173.1"
"KXJ26198.1","KXJ26198.1"
"KXJ26203.1","KXJ26203.1"
"KXJ26229.1","KXJ26229.1"
"KXJ26247.1","KXJ26247.1"
"KXJ26248.1","KXJ26248.1"
"KXJ26196.1","KXJ26196.1"
"KXJ26253.1","KXJ26253.1"
"KXJ26176.1","KXJ26176.1"
"KXJ26252.1","KXJ26252.1"
"KXJ26256.1","KXJ26256.1"
"KXJ26206.1","KXJ26206.1"
"KXJ26208.1","KXJ26208.1"
"KXJ26219.1","KXJ26219.1"
"KXJ26223.1","KXJ26223.1"
"KXJ26242.1","KXJ26242.1"
"KXJ26221.1","KXJ26221.1"
"KXJ26225.1","KXJ26225.1"
"KXJ26184.1","KXJ26184.1"
"KXJ26218.1","KXJ26218.1"
"KXJ26215.1","KXJ26215.1"
"KXJ26174.1","KXJ26174.1"
"KXJ26200.1","KXJ26200.1"
"KXJ26217.1","KXJ26217.1"
"KXJ26188.1","KXJ26188.1"
"KXJ26250.1","KXJ26250.1"
"KXJ26232.1","KXJ26232.1"
"KXJ26235.1","KXJ26235.1"
"KXJ26237.1","KXJ26237.1"
"KXJ26241.1","KXJ26241.1"
"KXJ26179.1","KXJ26179.1"
"KXJ26249.1","KXJ26249.1"
"KXJ26233.1","KXJ26233.1"
"KXJ26187.1","KXJ26187.1"
"KXJ26234.1","KXJ26234.1"
"KXJ26182.1","KXJ26182.1"
"KXJ26185.1","KXJ26185.1"
"KXJ26209.1","KXJ26209.1"
"KXJ26201.1","KXJ26201.1"
"KXJ26172.1","KXJ26172.1"
"KXJ26246.1","KXJ26246.1"
"KXJ26243.1","KXJ26243.1"
"KXJ26228.1","KXJ26228.1"
"KXJ26224.1","KXJ26224.1"
"KXJ26212.1","KXJ26212.1"
"KXJ26230.1","KXJ26230.1"
"KXJ26213.1","KXJ26213.1"
"KXJ26244.1","KXJ26244.1"
"KXJ26216.1","KXJ26216.1"
"KXJ26186.1","KXJ26186.1"
"KXJ26194.1","KXJ26194.1"
"KXJ26178.1","KXJ26178.1"
"KXJ26195.1","KXJ26195.1"
"KXJ26227.1","KXJ26227.1"
"KXJ26240.1","KXJ26240.1"
"KXJ26189.1","KXJ26189.1"
"KXJ26192.1","KXJ26192.1"
"KXJ26220.1","KXJ26220.1"
"KXJ26180.1","KXJ26180.1"
"KXJ26211.1","KXJ26211.1"
"KXJ26170.1","KXJ26170.1"
"KXJ26171.1","KXJ26171.1"
"KXJ26255.1","KXJ26255.1"
"KXJ26204.1","KXJ26204.1"
"KXJ26214.1","KXJ26214.1"
"KXJ26251.1","KXJ26251.1"
"KXJ26222.1","KXJ26222.1"
"KXJ26177.1","KXJ26177.1"
"KXJ26254.1","KXJ26254.1"
"KXJ26197.1","KXJ26197.1"
"KXJ26245.1","KXJ26245.1"
"KXJ26226.1","KXJ26226.1"
"KXJ26257.1","KXJ26257.1"
"KXJ26238.1","KXJ26238.1"
"KXJ26231.1","KXJ26231.1"
"KXJ26207.1","KXJ26207.1"
"KXJ26181.1","KXJ26181.1"
"KXJ26169.1","KXJ26169.1"
"KXJ26183.1","KXJ26183.1"
"KXJ26191.1","KXJ26191.1"
"KXJ26239.1","KXJ26239.1"
"KXJ26175.1","KXJ26175.1"
"KXJ26190.1","KXJ26190.1"
"KXJ26156.1","KXJ26156.1"
"KXJ26111.1","KXJ26111.1"
"KXJ26118.1","KXJ26118.1"
"KXJ26123.1","KXJ26123.1"
"KXJ26154.1","KXJ26154.1"
"KXJ26149.1","KXJ26149.1"
"KXJ26134.1","KXJ26134.1"
"KXJ26155.1","KXJ26155.1"
"KXJ26128.1","KXJ26128.1"
"KXJ26101.1","KXJ26101.1"
"KXJ26168.1","KXJ26168.1"
"KXJ26097.1","KXJ26097.1"
"KXJ26136.1","KXJ26136.1"
"KXJ26122.1","KXJ26122.1"
"KXJ26115.1","KXJ26115.1"
"KXJ26133.1","KXJ26133.1"
"KXJ26100.1","KXJ26100.1"
"KXJ26162.1","KXJ26162.1"
"KXJ26141.1","KXJ26141.1"
"KXJ26163.1","KXJ26163.1"
"KXJ26167.1","KXJ26167.1"
"KXJ26113.1","KXJ26113.1"
"KXJ26129.1","KXJ26129.1"
"KXJ26099.1","KXJ26099.1"
"KXJ26165.1","KXJ26165.1"
"KXJ26144.1","KXJ26144.1"
"KXJ26150.1","KXJ26150.1"
"KXJ26161.1","KXJ26161.1"
"KXJ26130.1","KXJ26130.1"
"KXJ26124.1","KXJ26124.1"
"KXJ26140.1","KXJ26140.1"
"KXJ26135.1","KXJ26135.1"
"KXJ26145.1","KXJ26145.1"
"KXJ26105.1","KXJ26105.1"
"KXJ26109.1","KXJ26109.1"
"KXJ26106.1","KXJ26106.1"
"KXJ26147.1","KXJ26147.1"
"KXJ26103.1","KXJ26103.1"
"KXJ26159.1","KXJ26159.1"
"KXJ26104.1","KXJ26104.1"
"KXJ26120.1","KXJ26120.1"
"KXJ26108.1","KXJ26108.1"
"KXJ26102.1","KXJ26102.1"
"KXJ26157.1","KXJ26157.1"
"KXJ26114.1","KXJ26114.1"
"KXJ26126.1","KXJ26126.1"
"KXJ26125.1","KXJ26125.1"
"KXJ26146.1","KXJ26146.1"
"KXJ26132.1","KXJ26132.1"
"KXJ26107.1","KXJ26107.1"
"KXJ26112.1","KXJ26112.1"
"KXJ26158.1","KXJ26158.1"
"KXJ26164.1","KXJ26164.1"
"KXJ26139.1","KXJ26139.1"
"KXJ26142.1","KXJ26142.1"
"KXJ26160.1","KXJ26160.1"
"KXJ26137.1","KXJ26137.1"
"KXJ26117.1","KXJ26117.1"
"KXJ26152.1","KXJ26152.1"
"KXJ26166.1","KXJ26166.1"
"KXJ26127.1","KXJ26127.1"
"KXJ26116.1","KXJ26116.1"
"KXJ26098.1","KXJ26098.1"
"KXJ26153.1","KXJ26153.1"
"KXJ26138.1","KXJ26138.1"
"KXJ26148.1","KXJ26148.1"
"KXJ26151.1","KXJ26151.1"
"KXJ26131.1","KXJ26131.1"
"KXJ26119.1","KXJ26119.1"
"KXJ26110.1","KXJ26110.1"
"KXJ26143.1","KXJ26143.1"
"KXJ26121.1","KXJ26121.1"
"KXJ26035.1","KXJ26035.1"
"KXJ26031.1","KXJ26031.1"
"KXJ26084.1","KXJ26084.1"
"KXJ26079.1","KXJ26079.1"
"KXJ26094.1","KXJ26094.1"
"KXJ26092.1","KXJ26092.1"
"KXJ26083.1","KXJ26083.1"
"KXJ26078.1","KXJ26078.1"
"KXJ26085.1","KXJ26085.1"
"KXJ26052.1","KXJ26052.1"
"KXJ26091.1","KXJ26091.1"
"KXJ26071.1","KXJ26071.1"
"KXJ26064.1","KXJ26064.1"
"KXJ26072.1","KXJ26072.1"
"KXJ26049.1","KXJ26049.1"
"KXJ26086.1","KXJ26086.1"
"KXJ26070.1","KXJ26070.1"
"KXJ26082.1","KXJ26082.1"
"KXJ26068.1","KXJ26068.1"
"KXJ26045.1","KXJ26045.1"
"KXJ26041.1","KXJ26041.1"
"KXJ26036.1","KXJ26036.1"
"KXJ26028.1","KXJ26028.1"
"KXJ26040.1","KXJ26040.1"
"KXJ26080.1","KXJ26080.1"
"KXJ26065.1","KXJ26065.1"
"KXJ26069.1","KXJ26069.1"
"KXJ26058.1","KXJ26058.1"
"KXJ26047.1","KXJ26047.1"
"KXJ26056.1","KXJ26056.1"
"KXJ26048.1","KXJ26048.1"
"KXJ26039.1","KXJ26039.1"
"KXJ26088.1","KXJ26088.1"
"KXJ26095.1","KXJ26095.1"
"KXJ26063.1","KXJ26063.1"
"KXJ26089.1","KXJ26089.1"
"KXJ26046.1","KXJ26046.1"
"KXJ26038.1","KXJ26038.1"
"KXJ26053.1","KXJ26053.1"
"KXJ26023.1","KXJ26023.1"
"KXJ26033.1","KXJ26033.1"
"KXJ26044.1","KXJ26044.1"
"KXJ26037.1","KXJ26037.1"
"KXJ26050.1","KXJ26050.1"
"KXJ26075.1","KXJ26075.1"
"KXJ26081.1","KXJ26081.1"
"KXJ26057.1","KXJ26057.1"
"KXJ26022.1","KXJ26022.1"
"KXJ26027.1","KXJ26027.1"
"KXJ26021.1","KXJ26021.1"
"KXJ26096.1","KXJ26096.1"
"KXJ26034.1","KXJ26034.1"
"KXJ26066.1","KXJ26066.1"
"KXJ26061.1","KXJ26061.1"
"KXJ26062.1","KXJ26062.1"
"KXJ26090.1","KXJ26090.1"
"KXJ26043.1","KXJ26043.1"
"KXJ26055.1","KXJ26055.1"
"KXJ26067.1","KXJ26067.1"
"KXJ26073.1","KXJ26073.1"
"KXJ26030.1","KXJ26030.1"
"KXJ26024.1","KXJ26024.1"
"KXJ26054.1","KXJ26054.1"
"KXJ26032.1","KXJ26032.1"
"KXJ26077.1","KXJ26077.1"
"KXJ26060.1","KXJ26060.1"
"KXJ26074.1","KXJ26074.1"
"KXJ26042.1","KXJ26042.1"
"KXJ26093.1","KXJ26093.1"
"KXJ26059.1","KXJ26059.1"
"KXJ26051.1","KXJ26051.1"
"KXJ26076.1","KXJ26076.1"
"KXJ26029.1","KXJ26029.1"
"KXJ26087.1","KXJ26087.1"
"KXJ26026.1","KXJ26026.1"
"KXJ26025.1","KXJ26025.1"
"KXJ25917.1","KXJ25917.1"
"KXJ25992.1","KXJ25992.1"
"KXJ25982.1","KXJ25982.1"
"KXJ25942.1","KXJ25942.1"
"KXJ25997.1","KXJ25997.1"
"KXJ25907.1","KXJ25907.1"
"KXJ25922.1","KXJ25922.1"
"KXJ25959.1","KXJ25959.1"
"KXJ25947.1","KXJ25947.1"
"KXJ25910.1","KXJ25910.1"
"KXJ25946.1","KXJ25946.1"
"KXJ25932.1","KXJ25932.1"
"KXJ25928.1","KXJ25928.1"
"KXJ26003.1","KXJ26003.1"
"KXJ25901.1","KXJ25901.1"
"KXJ25935.1","KXJ25935.1"
"KXJ25952.1","KXJ25952.1"
"KXJ25973.1","KXJ25973.1"
"KXJ25968.1","KXJ25968.1"
"KXJ25945.1","KXJ25945.1"
"KXJ25934.1","KXJ25934.1"
"KXJ26001.1","KXJ26001.1"
"KXJ25900.1","KXJ25900.1"
"KXJ25919.1","KXJ25919.1"
"KXJ25967.1","KXJ25967.1"
"KXJ25990.1","KXJ25990.1"
"KXJ25949.1","KXJ25949.1"
"KXJ25972.1","KXJ25972.1"
"KXJ25975.1","KXJ25975.1"
"KXJ25986.1","KXJ25986.1"
"KXJ25956.1","KXJ25956.1"
"KXJ25918.1","KXJ25918.1"
"KXJ26018.1","KXJ26018.1"
"KXJ26020.1","KXJ26020.1"
"KXJ25930.1","KXJ25930.1"
"KXJ25977.1","KXJ25977.1"
"KXJ26013.1","KXJ26013.1"
"KXJ25911.1","KXJ25911.1"
"KXJ25955.1","KXJ25955.1"
"KXJ25938.1","KXJ25938.1"
"KXJ26019.1","KXJ26019.1"
"KXJ26005.1","KXJ26005.1"
"KXJ25993.1","KXJ25993.1"
"KXJ25951.1","KXJ25951.1"
"KXJ25908.1","KXJ25908.1"
"KXJ25970.1","KXJ25970.1"
"KXJ25931.1","KXJ25931.1"
"KXJ26012.1","KXJ26012.1"
"KXJ25903.1","KXJ25903.1"
"KXJ25906.1","KXJ25906.1"
"KXJ25953.1","KXJ25953.1"
"KXJ25958.1","KXJ25958.1"
"KXJ25957.1","KXJ25957.1"
"KXJ25960.1","KXJ25960.1"
"KXJ25978.1","KXJ25978.1"
"KXJ25995.1","KXJ25995.1"
"KXJ25971.1","KXJ25971.1"
"KXJ26002.1","KXJ26002.1"
"KXJ25966.1","KXJ25966.1"
"KXJ25920.1","KXJ25920.1"
"KXJ25983.1","KXJ25983.1"
"KXJ25989.1","KXJ25989.1"
"KXJ25940.1","KXJ25940.1"
"KXJ25941.1","KXJ25941.1"
"KXJ25987.1","KXJ25987.1"
"KXJ26015.1","KXJ26015.1"
"KXJ25902.1","KXJ25902.1"
"KXJ25913.1","KXJ25913.1"
"KXJ26010.1","KXJ26010.1"
"KXJ25929.1","KXJ25929.1"
"KXJ25926.1","KXJ25926.1"
"KXJ25981.1","KXJ25981.1"
"KXJ25914.1","KXJ25914.1"
"KXJ25925.1","KXJ25925.1"
"KXJ25921.1","KXJ25921.1"
"KXJ25915.1","KXJ25915.1"
"KXJ25999.1","KXJ25999.1"
"KXJ25985.1","KXJ25985.1"
"KXJ25998.1","KXJ25998.1"
"KXJ26000.1","KXJ26000.1"
"KXJ25976.1","KXJ25976.1"
"KXJ25964.1","KXJ25964.1"
"KXJ25991.1","KXJ25991.1"
"KXJ25943.1","KXJ25943.1"
"KXJ25988.1","KXJ25988.1"
"KXJ25996.1","KXJ25996.1"
"KXJ25963.1","KXJ25963.1"
"KXJ26014.1","KXJ26014.1"
"KXJ26011.1","KXJ26011.1"
"KXJ25962.1","KXJ25962.1"
"KXJ25927.1","KXJ25927.1"
"KXJ26008.1","KXJ26008.1"
"KXJ25950.1","KXJ25950.1"
"KXJ25974.1","KXJ25974.1"
"KXJ25904.1","KXJ25904.1"
"KXJ25944.1","KXJ25944.1"
"KXJ25939.1","KXJ25939.1"
"KXJ25905.1","KXJ25905.1"
"KXJ25936.1","KXJ25936.1"
"KXJ25924.1","KXJ25924.1"
"KXJ25965.1","KXJ25965.1"
"KXJ25961.1","KXJ25961.1"
"KXJ26017.1","KXJ26017.1"
"KXJ25994.1","KXJ25994.1"
"KXJ25916.1","KXJ25916.1"
"KXJ25984.1","KXJ25984.1"
"KXJ25948.1","KXJ25948.1"
"KXJ25923.1","KXJ25923.1"
"KXJ25909.1","KXJ25909.1"
"KXJ25969.1","KXJ25969.1"
"KXJ26009.1","KXJ26009.1"
"KXJ25912.1","KXJ25912.1"
"KXJ25954.1","KXJ25954.1"
"KXJ25933.1","KXJ25933.1"
"KXJ26004.1","KXJ26004.1"
"KXJ26006.1","KXJ26006.1"
"KXJ25980.1","KXJ25980.1"
"KXJ25937.1","KXJ25937.1"
"KXJ26016.1","KXJ26016.1"
"KXJ25979.1","KXJ25979.1"
"KXJ26007.1","KXJ26007.1"
"KXJ25831.1","KXJ25831.1"
"KXJ25871.1","KXJ25871.1"
"KXJ25890.1","KXJ25890.1"
"KXJ25806.1","KXJ25806.1"
"KXJ25832.1","KXJ25832.1"
"KXJ25845.1","KXJ25845.1"
"KXJ25878.1","KXJ25878.1"
"KXJ25856.1","KXJ25856.1"
"KXJ25830.1","KXJ25830.1"
"KXJ25857.1","KXJ25857.1"
"KXJ25808.1","KXJ25808.1"
"KXJ25887.1","KXJ25887.1"
"KXJ25819.1","KXJ25819.1"
"KXJ25854.1","KXJ25854.1"
"KXJ25898.1","KXJ25898.1"
"KXJ25811.1","KXJ25811.1"
"KXJ25886.1","KXJ25886.1"
"KXJ25805.1","KXJ25805.1"
"KXJ25829.1","KXJ25829.1"
"KXJ25883.1","KXJ25883.1"
"KXJ25846.1","KXJ25846.1"
"KXJ25863.1","KXJ25863.1"
"KXJ25816.1","KXJ25816.1"
"KXJ25880.1","KXJ25880.1"
"KXJ25881.1","KXJ25881.1"
"KXJ25851.1","KXJ25851.1"
"KXJ25862.1","KXJ25862.1"
"KXJ25841.1","KXJ25841.1"
"KXJ25825.1","KXJ25825.1"
"KXJ25847.1","KXJ25847.1"
"KXJ25821.1","KXJ25821.1"
"KXJ25804.1","KXJ25804.1"
"KXJ25843.1","KXJ25843.1"
"KXJ25899.1","KXJ25899.1"
"KXJ25822.1","KXJ25822.1"
"KXJ25815.1","KXJ25815.1"
"KXJ25834.1","KXJ25834.1"
"KXJ25826.1","KXJ25826.1"
"KXJ25803.1","KXJ25803.1"
"KXJ25891.1","KXJ25891.1"
"KXJ25844.1","KXJ25844.1"
"KXJ25807.1","KXJ25807.1"
"KXJ25842.1","KXJ25842.1"
"KXJ25892.1","KXJ25892.1"
"KXJ25866.1","KXJ25866.1"
"KXJ25824.1","KXJ25824.1"
"KXJ25865.1","KXJ25865.1"
"KXJ25869.1","KXJ25869.1"
"KXJ25809.1","KXJ25809.1"
"KXJ25858.1","KXJ25858.1"
"KXJ25889.1","KXJ25889.1"
"KXJ25870.1","KXJ25870.1"
"KXJ25877.1","KXJ25877.1"
"KXJ25838.1","KXJ25838.1"
"KXJ25864.1","KXJ25864.1"
"KXJ25859.1","KXJ25859.1"
"KXJ25895.1","KXJ25895.1"
"KXJ25823.1","KXJ25823.1"
"KXJ25850.1","KXJ25850.1"
"KXJ25813.1","KXJ25813.1"
"KXJ25897.1","KXJ25897.1"
"KXJ25873.1","KXJ25873.1"
"KXJ25840.1","KXJ25840.1"
"KXJ25888.1","KXJ25888.1"
"KXJ25855.1","KXJ25855.1"
"KXJ25839.1","KXJ25839.1"
"KXJ25814.1","KXJ25814.1"
"KXJ25868.1","KXJ25868.1"
"KXJ25874.1","KXJ25874.1"
"KXJ25882.1","KXJ25882.1"
"KXJ25875.1","KXJ25875.1"
"KXJ25879.1","KXJ25879.1"
"KXJ25893.1","KXJ25893.1"
"KXJ25861.1","KXJ25861.1"
"KXJ25848.1","KXJ25848.1"
"KXJ25876.1","KXJ25876.1"
"KXJ25872.1","KXJ25872.1"
"KXJ25827.1","KXJ25827.1"
"KXJ25852.1","KXJ25852.1"
"KXJ25810.1","KXJ25810.1"
"KXJ25849.1","KXJ25849.1"
"KXJ25812.1","KXJ25812.1"
"KXJ25884.1","KXJ25884.1"
"KXJ25894.1","KXJ25894.1"
"KXJ25818.1","KXJ25818.1"
"KXJ25828.1","KXJ25828.1"
"KXJ25833.1","KXJ25833.1"
"KXJ25885.1","KXJ25885.1"
"KXJ25860.1","KXJ25860.1"
"KXJ25820.1","KXJ25820.1"
"KXJ25896.1","KXJ25896.1"
"KXJ25817.1","KXJ25817.1"
"KXJ25837.1","KXJ25837.1"
"KXJ25867.1","KXJ25867.1"
"KXJ25835.1","KXJ25835.1"
"KXJ25836.1","KXJ25836.1"
